date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:26	85545/85545	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Sep%202018%2012:33:54%20GMT	https://iqonicthemes.com/themes/qwilo/index.html	C:/My%20Web%20Sites/qwilo/iqonicthemes.com/themes/qwilo/index.html	(from )
17:04:27	76/76	---M-Z	200	added ('OK')	text/plain	date:Mon,%2024%20Sep%202018%2016:04:26%20GMT	https://iqonicthemes.com/robots.txt		(from )
17:04:28	10806/10806	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%222a36-57324ac0e30b6%22	https://iqonicthemes.com/themes/qwilo/images/favicon.ico	C:/My%20Web%20Sites/qwilo/iqonicthemes.com/themes/qwilo/images/favicon.ico	(from https://iqonicthemes.com/themes/qwilo/index.html)
17:04:28	140421/140421	---M-Z	200	added ('OK')	text/css	etag:%2222485-5755b584ccb5a-gzip%22	https://iqonicthemes.com/themes/qwilo/css/bootstrap.min.css	C:/My%20Web%20Sites/qwilo/iqonicthemes.com/themes/qwilo/css/bootstrap.min.css	(from https://iqonicthemes.com/themes/qwilo/index.html)
17:04:28	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5755b585b4279-gzip%22	https://iqonicthemes.com/themes/qwilo/css/font-awesome.min.css	C:/My%20Web%20Sites/qwilo/iqonicthemes.com/themes/qwilo/css/font-awesome.min.css	(from https://iqonicthemes.com/themes/qwilo/index.html)
17:04:29	51284/51284	---M-Z	200	added ('OK')	text/css	etag:%22c854-5755b5865f0d8-gzip%22	https://iqonicthemes.com/themes/qwilo/css/ionicons.min.css	C:/My%20Web%20Sites/qwilo/iqonicthemes.com/themes/qwilo/css/ionicons.min.css	(from https://iqonicthemes.com/themes/qwilo/index.html)
17:04:29	144863/144863	---MCZ	200	added ('OK')	text/css	etag:W/%2224592-5755b59560d87-gzip%22	https://iqonicthemes.com/themes/qwilo/css/mega-menu/mega_menu.css	C:/My%20Web%20Sites/qwilo/iqonicthemes.com/themes/qwilo/css/mega-menu/mega_menu.css	(from https://iqonicthemes.com/themes/qwilo/index.html)
17:04:29	3634/3634	---MCZ	200	added ('OK')	text/css	etag:W/%221206-5755b59609ca7-gzip%22	https://iqonicthemes.com/themes/qwilo/css/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/qwilo/iqonicthemes.com/themes/qwilo/css/owl-carousel/owl.carousel.css	(from https://iqonicthemes.com/themes/qwilo/index.html)
17:04:30	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%221b27-5755b58786f37-gzip%22	https://iqonicthemes.com/themes/qwilo/css/magnific-popup.css	C:/My%20Web%20Sites/qwilo/iqonicthemes.com/themes/qwilo/css/magnific-popup.css	(from https://iqonicthemes.com/themes/qwilo/index.html)
17:04:30	17502/17502	---MCZ	200	added ('OK')	text/css	etag:W/%225d28-5755b583e15bb-gzip%22	https://iqonicthemes.com/themes/qwilo/css/animate.css	C:/My%20Web%20Sites/qwilo/iqonicthemes.com/themes/qwilo/css/animate.css	(from https://iqonicthemes.com/themes/qwilo/index.html)
